Descrição;Placa do Veículo;Última Quilometragem;Quantidade de Baias;Tamanho da baia;Perfil do veículo;Tipo do veículo;Transportadora;Baias Personalizadas
CARRETA;BEA9A54;0;28;42;Frota Fixa;;Ambev;Não
0764;BEC4F61;5555;42;28;Freteiro;;Fabio Alves da Silveira;Não
0764;BEF8E83;0;28;42;Frota Fixa;;Ambev;Não
0764;BEG2G92;0;28;42;Frota Fixa;;VERDE CAMPOS137;Não
0764;BEI5H03;0;28;42;Frota Fixa;;Ambev;Não
0764;BET9E05;5555;28;28;Frota Fixa;;Ambev;Não
CARRETA;BGX4619;0;26;42;Freteiro;;Ambev;Não
0764;BGY6304;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BHE9413;65;6;42;Freteiro;;PDV POSITIVA LOGISTICA E TRANSPORTE EIRE;Não
CARRETA;BIE2808;0;22;42;Freteiro;;Syder Transportes Ltda;Não
wv64;BJU6585;0;42;42;Frota Fixa;;Ambev;Não
0764;BJW7A05;0;28;42;Frota Fixa;;Ambev;Não
0764;BJW7A06;0;28;42;Frota Fixa;;Ambev;Não
0764;BKK5671;0;42;42;Frota Fixa;;Ambev;Não
carreta;BKK9671;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BKK9983;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
CAMINHÃO;BKO5093;1;10;42;Recarga;;Ambev;Não
0764;BKU0F44;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BKU0J28;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BKU3093;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BKU3094;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
CARRETA;BKV4270;99999;22;42;Freteiro;;Ambev;Não
0764;BLB4407;0;14;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BLK8D99;0;8;42;Frota Fixa;;Ambev;Não
0764;BMJ9811;0;22;42;Freteiro;;Ambev;Não
0764;BPA2D70;0;28;42;Freteiro;;Ambev;Não
0764;BPI2156;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;BPL4625;0;8;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
REDE IDEAL;BPO2019;0;8;42;Freteiro;;BP ONE PUBLICIDADE E PROPAGANDA;Não
0764;BPO2156;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;BQU2G55;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
empurrada;BQU5E47;5555;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
BAIADO;BRE7301;9999;8;42;Recarga;;Ambev;Não
CAMINHÃO;BRF2260;0;8;42;Freteiro;;Ambev;Não
0764;BRQ0753;0;28;42;Frota Fixa;;Ambev;Não
0764;BRQ0822;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BRQ2H57;0;42;42;Frota Fixa;;TRANSPORTADORA TRANSLECCHI LT;Não
0764;BRQ8725;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;BRQ9E41;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BRQ9E42;0;28;42;Frota Fixa;;Ambev;Não
0764;BRQ9E43;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BRY3I35;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BRY5I31;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BSA1412;0;26;42;Frota Fixa;;Ambev;Não
CARRETA;BSF3316;0;26;42;Freteiro;;Ambev;Não
BSG0127;BSG0127;2323;28;42;Frota Fixa;;Ambev;Não
0764;BSG9923;0;26;42;Freteiro;;Ambev;Não
CARRETA BAU;BSR2298;0;26;42;Freteiro;;Ambev;Não
0764;BSX3A65;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BSX4D86;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BSX6A65;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BSX7244;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BSX9700;0;28;42;Frota Fixa;;Ambev;Não
0764;BSZ8G03;0;28;42;Frota Fixa;;Ambev;Não
0764;BTA2D70;0;28;42;Frota Fixa;;Ambev;Não
0764;BTA7405;0;4;42;Freteiro;;Ambev;Não
BTD5391;BTD5391;999;6;42;Frota Fixa;;Ambev;Não
CARRETA;BTO7804;0;22;42;Recarga;;CONLOG629000273;Não
0764;BTP5C44;0;28;42;Frota Fixa;;Ambev;Não
0764;BTR8I31;0;12;42;Frota Fixa;;PDV POSITIVA LOGISTICA E TRANSPORTE EIRE;Não
0764;BTR9974;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BTZ2D21;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BUP9362;0;28;42;Frota Fixa;;Ambev;Não
carreta;BVA6519;55555;26;42;Freteiro;;Ambev;Não
CARRETA;BVT4H04;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BVT7B96;0;28;42;Frota Fixa;;Ambev;Não
0764;BVZ9182;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BVZ9I82;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
TRUCK;BWA4542;0;10;42;Frota Fixa;;Ambev;Não
Toco;BWB4D10;0;6;42;Freteiro;;FSR & Souza Transportes - ME;Não
121212122;BWB7408;2;8;42;Recarga;;Ambev;Não
cddguarulhos;BWD0529;5555;20;42;Frota Fixa;;Fabio Alves da Silveira;Não
;BWG6429;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BWH2A55;500000;28;28;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BWJ5F74;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
