Id,Side,Number,BaySize,VehicleId,VehicleBayIdLegacy
145,1,11,42,161603,c1ff4062-64a5-416c-aa62-b2f500f93007
146,0,7,42,161603,56f6f3d1-789b-4af9-ad72-b2f500f93007
147,0,8,42,161603,344f7b52-4035-47a8-ad7b-b2f500f93007
148,1,12,42,161603,6f6b5b47-222d-4fc9-af08-b2f500f93007
149,0,6,42,161603,761a675e-3e26-4ebc-b01b-b2f500f93007
150,0,4,42,161603,35655623-077c-4a20-b191-b2f500f93007
151,1,9,42,161603,58dc34e9-376e-44af-b241-b2f500f93007
152,1,14,42,161603,9f140b27-f4a7-4404-b2bb-b2f500f93007
153,0,1,42,161603,0ca9bde4-4531-4e18-b517-b2f500f93007
154,1,5,42,161603,4c953550-a0b7-4b42-be78-b2f500f93007
183,0,9,28,161688,e01cb9ce-535a-4016-81f2-b2fd0173e769
184,0,2,28,161688,33daa0b3-f9b3-45f1-82f9-b2fd0173e769
185,1,4,28,161688,72abbec5-e09b-4de6-843a-b2fd0173e769
186,0,12,28,161688,6a9b686d-b79b-4037-89af-b2fd0173e769
187,1,13,28,161688,5711abd3-1691-4401-8c06-b2fd0173e769
188,0,8,28,161688,e13e89be-0bf2-4221-8c97-b2fd0173e769
189,1,3,28,161688,465869b6-c9b2-41ba-9033-b2fd0173e769
190,1,8,28,161688,0be2f687-06d3-4266-90f5-b2fd0173e769
191,1,2,28,161688,7e7884ec-d269-4ded-943e-b2fd0173e769
192,0,14,28,161688,66a00398-253a-4b22-9b38-b2fd0173e769
193,1,6,28,161688,f5176ff2-2dda-4eee-9cee-b2fd0173e769
194,0,11,28,161688,15a55671-99e5-4826-9e5a-b2fd0173e769
195,0,6,28,161688,bc7512ab-6352-4de1-9fee-b2fd0173e769
196,1,10,28,161688,1c8971f1-41e4-4cb6-a3c8-b2fd0173e769
197,0,4,28,161688,50676dba-3253-46d2-a4da-b2fd0173e769
198,0,13,28,161688,d736deee-8886-4f68-a4dc-b2fd0173e769
199,1,7,28,161688,56468628-1fb6-4363-a5ed-b2fd0173e769
200,1,9,28,161688,3c0437f3-90e1-4cee-aa9a-b2fd0173e769
201,1,5,28,161688,c7ce3f2a-7843-4e94-aafb-b2fd0173e769
202,1,11,28,161688,8a2c2d75-272d-44a1-b048-b2fd0173e769
203,1,14,28,161688,3904f85e-6693-4f1e-b519-b2fd0173e769
204,0,10,28,161688,6ef75e1e-ef88-4c37-b540-b2fd0173e769
205,1,12,28,161688,21992895-c5c4-422a-b5d5-b2fd0173e769
206,0,5,28,161688,1bf07b16-2f80-48a1-b73b-b2fd0173e769
207,1,1,28,161688,d96d8e8c-61b9-4a03-b7fc-b2fd0173e769
208,0,3,28,161688,ab96174b-4935-4de2-b82e-b2fd0173e769
209,0,7,28,161688,1081773e-2c02-43db-bff3-b2fd0173e769
210,0,1,28,161688,ebe7c649-fcce-4427-bffe-b2fd0173e769
211,0,1,14,161775,NULL
212,0,2,14,161775,NULL
213,0,3,14,161775,NULL
225,1,1,14,161775,NULL
226,1,2,14,161775,NULL
227,1,3,14,161775,NULL
239,0,1,28,161776,NULL
240,0,2,28,161776,NULL
241,0,3,28,161776,NULL
242,0,4,28,161776,NULL
243,0,5,28,161776,NULL
244,0,6,28,161776,NULL
245,0,7,28,161776,NULL
246,0,8,28,161776,NULL
247,0,9,28,161776,NULL
248,0,10,28,161776,NULL
249,0,11,28,161776,NULL
250,0,12,28,161776,NULL
251,0,13,28,161776,NULL
252,0,14,28,161776,NULL
253,1,1,28,161776,NULL
254,1,2,28,161776,NULL
255,1,3,28,161776,NULL
256,1,4,28,161776,NULL
257,1,5,28,161776,NULL
258,1,6,28,161776,NULL
259,1,7,28,161776,NULL
260,1,8,28,161776,NULL
261,1,9,28,161776,NULL
262,1,10,28,161776,NULL
263,1,11,28,161776,NULL
264,1,12,28,161776,NULL
265,1,13,28,161776,NULL
266,1,14,28,161776,NULL
283,0,1,28,161937,NULL
284,0,2,28,161937,NULL
285,0,3,28,161937,NULL
286,0,4,28,161937,NULL
287,0,5,28,161937,NULL
288,0,6,28,161937,NULL
289,0,7,28,161937,NULL
290,0,8,28,161937,NULL
291,0,9,28,161937,NULL
292,0,10,28,161937,NULL
293,0,11,28,161937,NULL
294,0,12,28,161937,NULL
295,0,13,28,161937,NULL
296,0,14,28,161937,NULL
297,1,1,28,161937,NULL
298,1,2,28,161937,NULL
299,1,3,28,161937,NULL
300,1,4,28,161937,NULL
301,1,5,28,161937,NULL
302,1,6,28,161937,NULL
303,1,7,28,161937,NULL
304,1,8,28,161937,NULL
305,1,9,28,161937,NULL
306,1,10,28,161937,NULL
307,1,11,28,161937,NULL
308,1,12,28,161937,NULL
309,1,13,28,161937,NULL
310,1,14,28,161937,NULL
311,0,1,42,162007,NULL
312,0,2,42,162007,NULL
313,0,3,42,162007,NULL
314,0,4,42,162007,NULL
315,0,5,42,162007,NULL
316,0,6,42,162007,NULL
317,0,7,42,162007,NULL
318,0,8,42,162007,NULL
319,0,9,42,162007,NULL
320,0,10,42,162007,NULL
321,0,11,42,162007,NULL
322,0,12,42,162007,NULL
323,0,13,42,162007,NULL
324,0,14,42,162007,NULL
325,0,15,42,162007,NULL
326,0,16,42,162007,NULL
327,0,17,42,162007,NULL
328,0,18,42,162007,NULL
329,0,19,42,162007,NULL
330,0,20,42,162007,NULL
331,0,21,42,162007,NULL
332,1,1,42,162007,NULL
333,1,2,42,162007,NULL
334,1,3,42,162007,NULL
335,1,4,42,162007,NULL
336,1,5,42,162007,NULL
337,1,6,42,162007,NULL
338,1,7,42,162007,NULL
339,1,8,42,162007,NULL
340,1,9,42,162007,NULL
341,1,10,42,162007,NULL
342,1,11,42,162007,NULL
343,1,12,42,162007,NULL
344,1,13,42,162007,NULL
345,1,14,42,162007,NULL
346,1,15,42,162007,NULL
347,1,16,42,162007,NULL
348,1,17,42,162007,NULL
349,1,18,42,162007,NULL
350,1,19,42,162007,NULL
351,1,20,42,162007,NULL
352,1,21,42,162007,NULL
353,0,1,35,162024,NULL
354,0,2,42,162024,NULL
355,0,3,35,162024,NULL
356,0,4,35,162024,NULL
357,0,5,42,162024,NULL
358,1,1,35,162024,NULL
359,1,2,42,162024,NULL
360,1,3,35,162024,NULL
361,1,4,35,162024,NULL
362,1,5,42,162024,NULL
373,0,1,35,162054,NULL
374,0,2,42,162054,NULL
375,0,3,35,162054,NULL
376,0,4,35,162054,NULL
377,0,5,42,162054,NULL
378,1,1,35,162054,NULL
379,1,2,42,162054,NULL
380,1,3,35,162054,NULL
381,1,4,35,162054,NULL
382,1,5,42,162054,NULL
383,0,1,35,162056,NULL
384,0,2,42,162056,NULL
385,0,3,35,162056,NULL
386,0,4,35,162056,NULL
387,0,5,42,162056,NULL
388,1,1,35,162056,NULL
389,1,2,42,162056,NULL
390,1,3,35,162056,NULL
391,1,4,35,162056,NULL
392,1,5,42,162056,NULL
393,0,1,35,162057,NULL
394,0,2,42,162057,NULL
395,0,3,35,162057,NULL
396,0,4,35,162057,NULL
397,0,5,42,162057,NULL
398,1,1,35,162057,NULL
399,1,2,42,162057,NULL
400,1,3,35,162057,NULL
401,1,4,35,162057,NULL
402,1,5,42,162057,NULL
403,0,1,35,162058,NULL
404,0,2,42,162058,NULL
405,0,3,35,162058,NULL
406,0,4,35,162058,NULL
407,0,5,42,162058,NULL
408,1,1,35,162058,NULL
409,1,2,42,162058,NULL
410,1,3,35,162058,NULL
411,1,4,35,162058,NULL
412,1,5,42,162058,NULL
413,0,1,35,162059,NULL
414,0,2,42,162059,NULL
415,0,3,35,162059,NULL
416,0,4,35,162059,NULL
417,0,5,42,162059,NULL
418,1,1,35,162059,NULL
419,1,2,42,162059,NULL
420,1,3,35,162059,NULL
421,1,4,35,162059,NULL
422,1,5,42,162059,NULL
423,0,1,35,162060,NULL
424,0,2,42,162060,NULL
425,0,3,35,162060,NULL
426,0,4,35,162060,NULL
427,0,5,42,162060,NULL
428,1,1,35,162060,NULL
429,1,2,42,162060,NULL
430,1,3,35,162060,NULL
431,1,4,35,162060,NULL
432,1,5,42,162060,NULL
443,0,1,35,162062,NULL
444,0,2,42,162062,NULL
445,0,3,35,162062,NULL
446,0,4,35,162062,NULL
447,0,5,42,162062,NULL
448,1,1,35,162062,NULL
449,1,2,42,162062,NULL
450,1,3,35,162062,NULL
451,1,4,35,162062,NULL
452,1,5,42,162062,NULL
453,0,1,35,162063,NULL
454,0,2,42,162063,NULL
455,0,3,35,162063,NULL
456,0,4,35,162063,NULL
457,0,5,42,162063,NULL
458,1,1,35,162063,NULL
459,1,2,42,162063,NULL
460,1,3,35,162063,NULL
461,1,4,35,162063,NULL
462,1,5,42,162063,NULL
463,0,1,35,162064,NULL
464,0,2,42,162064,NULL
465,0,3,35,162064,NULL
466,0,4,35,162064,NULL
467,0,5,42,162064,NULL
468,1,1,35,162064,NULL
469,1,2,42,162064,NULL
470,1,3,35,162064,NULL
471,1,4,35,162064,NULL
472,1,5,42,162064,NULL
483,0,1,35,162066,NULL
484,0,2,42,162066,NULL
485,0,3,35,162066,NULL
486,0,4,35,162066,NULL
487,0,5,42,162066,NULL
488,1,1,35,162066,NULL
489,1,2,42,162066,NULL
490,1,3,35,162066,NULL
491,1,4,35,162066,NULL
492,1,5,42,162066,NULL
493,0,1,35,162067,NULL
494,0,2,42,162067,NULL
495,0,3,35,162067,NULL
496,0,4,35,162067,NULL
497,0,5,42,162067,NULL
498,1,1,35,162067,NULL
499,1,2,42,162067,NULL
500,1,3,35,162067,NULL
501,1,4,35,162067,NULL
502,1,5,42,162067,NULL
503,0,1,35,162025,64c78946-b7cc-439e-889a-b33000ee18ab
504,1,4,35,162025,d78f078b-b00e-48ca-89aa-b33000ee18ab
505,0,5,42,162025,25550371-96bf-4cdf-8ba4-b33000ee18ab
506,1,1,35,162025,9699a675-94c7-4bf9-8bd3-b33000ee18ab
507,0,3,35,162025,018e7ce2-fd74-4978-92d0-b33000ee18ab
508,1,5,42,162025,225b9709-9273-4cf5-a668-b33000ee18ab
509,0,2,42,162025,459e689e-52a2-4caa-a7e8-b33000ee18ab
510,1,3,35,162025,239de0d2-c85e-4b21-a938-b33000ee18ab
511,1,2,42,162025,a9781a61-229c-46f1-b41c-b33000ee18ab
512,0,4,35,162025,08af7c31-0895-497f-b5ab-b33000ee18ab
513,1,5,42,162061,43be3a12-acf2-48aa-83c0-b33000f36dc4
514,1,4,35,162061,c1eddf21-3004-4f51-89cd-b33000f36dc4
515,0,3,35,162061,04db7172-0ab8-4d03-8a54-b33000f36dc4
516,0,2,42,162061,c375d67f-e364-44cd-9d9b-b33000f36dc4
517,0,4,35,162061,1837d6ca-b86a-4e1b-a0f0-b33000f36dc4
518,0,1,35,162061,d7ee1a26-c83b-467f-a4ac-b33000f36dc4
519,0,5,42,162061,a0b3b18e-99c6-445c-b040-b33000f36dc4
520,1,3,35,162061,34d4ef14-de26-4e60-b1e2-b33000f36dc4
521,1,2,42,162061,ff3a308e-4729-402e-bc6f-b33000f36dc4
522,1,1,35,162061,80a5e62f-d3ad-4cd7-bd5e-b33000f36dc4
523,0,1,42,162150,NULL
524,0,2,42,162150,NULL
525,0,3,42,162150,NULL
526,0,4,42,162150,NULL
527,0,5,42,162150,NULL
528,0,6,42,162150,NULL
529,0,7,42,162150,NULL
530,0,8,42,162150,NULL
531,0,9,42,162150,NULL
532,0,10,42,162150,NULL
533,0,11,42,162150,NULL
534,0,12,42,162150,NULL
535,0,13,42,162150,NULL
536,0,14,42,162150,NULL
537,1,1,42,162150,NULL
538,1,2,42,162150,NULL
539,1,3,42,162150,NULL
540,1,4,42,162150,NULL
541,1,5,42,162150,NULL
542,1,6,42,162150,NULL
543,1,7,42,162150,NULL
544,1,8,42,162150,NULL
545,1,9,42,162150,NULL
546,1,10,42,162150,NULL
547,1,11,42,162150,NULL
548,1,12,42,162150,NULL
549,1,13,42,162150,NULL
550,1,14,42,162150,NULL
551,0,1,14,162157,NULL
552,0,2,14,162157,NULL
553,0,3,14,162157,NULL
554,0,4,14,162157,NULL
555,0,5,14,162157,NULL
556,0,6,14,162157,NULL
557,0,7,14,162157,NULL
558,0,8,14,162157,NULL
559,0,9,14,162157,NULL
560,0,10,14,162157,NULL
561,0,11,14,162157,NULL
562,0,12,14,162157,NULL
563,0,13,14,162157,NULL
564,0,14,14,162157,NULL
565,1,1,14,162157,NULL
566,1,2,14,162157,NULL
567,1,3,14,162157,NULL
568,1,4,14,162157,NULL
569,1,5,14,162157,NULL
570,1,6,14,162157,NULL
571,1,7,14,162157,NULL
572,1,8,14,162157,NULL
573,1,9,14,162157,NULL
574,1,10,14,162157,NULL
575,1,11,14,162157,NULL
576,1,12,14,162157,NULL
577,1,13,14,162157,NULL
578,1,14,14,162157,NULL
589,0,1,35,162164,NULL
590,0,2,42,162164,NULL
591,0,3,35,162164,NULL
592,0,4,42,162164,NULL
593,1,1,35,162164,NULL
594,1,2,42,162164,NULL
595,1,3,35,162164,NULL
596,1,4,42,162164,NULL
597,0,1,35,162165,NULL
598,0,2,42,162165,NULL
599,0,3,35,162165,NULL
600,0,4,42,162165,NULL
601,1,1,35,162165,NULL
602,1,2,42,162165,NULL
603,1,3,35,162165,NULL
604,1,4,42,162165,NULL
605,0,1,35,162173,NULL
606,0,2,42,162173,NULL
607,0,3,35,162173,NULL
608,0,4,42,162173,NULL
609,1,1,35,162173,NULL
610,1,2,42,162173,NULL
611,1,3,35,162173,NULL
612,1,4,42,162173,NULL
613,0,1,35,162174,NULL
614,0,2,42,162174,NULL
615,0,3,35,162174,NULL
616,0,4,42,162174,NULL
617,1,1,35,162174,NULL
618,1,2,42,162174,NULL
619,1,3,35,162174,NULL
620,1,4,42,162174,NULL
621,0,1,35,162175,NULL
622,0,2,42,162175,NULL
623,0,3,35,162175,NULL
624,0,4,42,162175,NULL
625,1,1,35,162175,NULL
626,1,2,42,162175,NULL
627,1,3,35,162175,NULL
628,1,4,42,162175,NULL
629,0,1,35,162181,NULL
630,0,2,42,162181,NULL
631,0,3,35,162181,NULL
632,0,4,42,162181,NULL
633,1,1,35,162181,NULL
634,1,2,42,162181,NULL
635,1,3,35,162181,NULL
636,1,4,42,162181,NULL
637,0,1,35,162182,NULL
638,0,2,42,162182,NULL
639,0,3,35,162182,NULL
640,0,4,42,162182,NULL
641,1,1,35,162182,NULL
642,1,2,42,162182,NULL
643,1,3,35,162182,NULL
644,1,4,42,162182,NULL
645,0,1,35,162183,NULL
646,0,2,42,162183,NULL
647,0,3,35,162183,NULL
648,0,4,42,162183,NULL
649,1,1,35,162183,NULL
650,1,2,42,162183,NULL
651,1,3,35,162183,NULL
652,1,4,42,162183,NULL
653,0,1,35,162184,NULL
654,0,2,42,162184,NULL
655,0,3,35,162184,NULL
656,0,4,42,162184,NULL
